1.0.1	pṛthvī [17: jsjsylg]
1.4.6	anuṣṭubh (1,2: pathyā, 3,4: na-vipulā)
1.4.7	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.8	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.9	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.10	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.11	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.12	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.13	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.14	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.15	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.16	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.17	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.18	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.19	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.4.20	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.21	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.22	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.23	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.24	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.25	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.26	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.27	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.4.28	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.29	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.30	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.31	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.32	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.33	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.34	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.35	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.36	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.37	anuṣṭubh (1,2: bha-vipulā, 3,4: pathyā)
1.4.38	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.39	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.40	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.41	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.42	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.43	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.44	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.45	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.46	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.47	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.48	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.49	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.50	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.51	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.52	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.53	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.4.54	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.4.55	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.56	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.57	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.58	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.4.59	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.60	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.61	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.62	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.63	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.64	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.65	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.66	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.67	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.68	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.69	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.70	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.71	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.72	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.73	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.74	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.75	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.76	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.4.77	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.78	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.79	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.80	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.81	anuṣṭubh (1,2: na-vipulā, 3,4: pathyā)
1.4.82	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.83	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.84	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.85	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.86	anuṣṭubh (1,2: ma-vipulā, 3,4: pathyā)
1.4.87	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.88	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.89	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.90	anuṣṭubh (1,2: pathyā, 3,4: ma-vipulā)
1.4.91	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.92	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.93	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.94	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.95	anuṣṭubh (1,2: pathyā, 3,4: bha-vipulā)
1.4.96	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.97	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.98	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.99	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.100	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.101	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.102	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.103	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.104	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.105	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.106	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.107	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.108	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
1.4.109	anuṣṭubh (1,2: pathyā, 3,4: pathyā)
